incentive,private,grade,table,table_size,table_incentive_pr,grape,grape2,cluster,strata,sex,race,lunch,dg,sw,sc,male,group,sex_mf,grade_mod,black,hispanic,free,public,above_grade_median,nosurvey,dbestfriend,dbestfriend_i,dpopular,dpopular_i,tpr_own
0,1,1,29,4,0.5,1,1,8,1,2,3,2,0,0,0,0,3,0,1,0,1,1,0,0,0,1,0,1,0,0.25
0,1,1,267,4,0,1,1,252,23,2,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0
1,0,7,252,4,1,1,1,275,25,3,2,2,0,0,0,1,8,1,7,1,0,1,1,1,1,0,0,0,0,1
0,0,4,268,4,0,1,1,266,24,2,2,2,0,0,0,0,2,0,4,1,0,1,1,0,0,0,0,0,0,0
0,0,7,78,4,0,1,1,83,7,2,4,4,0,0,0,0,2,0,7,0,0,0,1,1,0,1,0,1,0,0
1,0,4,143,5,1,1,1,143,12,3,2,2,0,0,0,1,8,1,4,1,0,1,1,0,0,1,1,1,1,1
0,0,6,124,5,0,0,0,128,10,2,2,2,0,0,0,0,2,0,6,1,0,1,1,1,0,1,0,0,0,0
1,1,5,105,5,1,1,1,108,9,3,3,2,0,0,0,1,7,1,5,0,1,1,0,1,1,0,0,0,0,0.800000011920929
0,0,1,116,5,0.6000000238418579,0,0,98,8,3,3,2,0,0,0,1,5,1,1,0,1,1,1,0,0,1,0,1,0,0.4000000059604645
1,0,1,14,5,1,1,1,2,1,3,3,2,0,0,0,1,8,1,1,0,1,1,1,0,0,1,1,1,1,0.800000011920929
0,0,999,181,5,0,0,1,181,16,1,1,1,1,1,0,999,2,NA,NA,0,0,0,1,NA,1,0,0,0,0,NA
1,1,5,113,5,1,1,1,110,9,2,3,2,0,0,0,0,7,0,5,0,1,1,0,1,1,0,0,0,0,1
0,0,8,284,5,0.20000000298023224,0,0,284,25,3,2,2,0,0,0,1,5,1,8,1,0,1,1,1,0,1,0,1,0,0.20000000298023224
1,0,1,14,5,1,1,1,2,1,3,3,2,0,0,0,1,8,1,1,0,1,1,1,0,0,1,1,1,1,0.800000011920929
1,0,2,204,5,1,0,0,191,16,3,3,2,0,0,0,1,8,1,2,0,1,1,1,0,0,0,0,0,0,0.20000000298023224
0,1,2,7,5,0,0,0,13,2,2,3,2,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0
0,0,8,102,5,0.4000000059604645,0,0,120,10,2,2,2,0,0,0,0,5,0,8,1,0,1,1,1,0,1,1,1,0,0.4000000059604645
0,0,4,96,5,0.4000000059604645,0,0,104,9,2,2,2,0,0,0,0,5,0,4,1,0,1,1,0,0,1,0,1,0,0.4000000059604645
