incentive,private,grade,table,table_size,table_incentive_pr,grape,grape2,cluster,strata,sex,race,lunch,dg,sw,sc,male,group,sex_mf,grade_mod,black,hispanic,free,public,above_grade_median,nosurvey,dbestfriend,dbestfriend_i,dpopular,dpopular_i,tpr_own,Switched,Stayed
1,0,7,261,6,0.6666666865348816,1,1,278,25,2,3,2,0,0,0,0,6,0,7,0,1,1,1,1,0,1,1,1,0,0.5,Not Changed,Stayed Grape
0,0,3,48,6,0,0,0,44,4,2,3,2,0,0,0,0,2,0,3,0,1,1,1,0,0,0,0,0,0,0,Not Changed,Stayed Cookie
1,0,6,203,6,0.3333333432674408,1,1,207,18,2,3,2,0,0,0,0,6,0,6,0,1,1,1,1,0,0,0,1,0,0.3333333432674408,Not Changed,Stayed Grape
0,0,3,119,6,0,0,0,112,9,3,3,2,0,0,0,1,2,1,3,0,1,1,1,0,1,0,0,0,0,0,Not Changed,Stayed Cookie
1,0,6,50,6,0.5,1,1,54,5,3,3,2,0,0,0,1,6,1,6,0,1,1,1,1,0,1,1,0,0,0.5,Not Changed,Stayed Grape
1,0,0,141,6,1,1,1,134,11,2,2,4,0,0,0,0,8,0,0,1,0,0,1,0,1,0,0,0,0,0.6666666865348816,Not Changed,Stayed Grape
1,0,7,66,6,0.6666666865348816,1,1,78,7,2,2,2,0,0,0,0,6,0,7,1,0,1,1,1,0,0,0,0,0,0.5,Not Changed,Stayed Grape
0,0,3,119,6,0,0,0,112,9,3,2,2,0,0,0,1,2,1,3,1,0,1,1,0,0,1,0,1,0,0,Not Changed,Stayed Cookie
0,0,6,6,6,0,0,0,22,3,3,3,2,0,0,0,1,2,1,6,0,1,1,1,1,0,1,0,1,0,0,Not Changed,Stayed Cookie
1,0,1,177,6,1,0,0,170,14,3,2,2,0,0,0,1,8,1,1,1,0,1,1,0,0,0,0,0,0,0.5,Not Changed,Stayed Cookie
0,0,5,38,6,0.6666666865348816,0,0,50,5,2,3,2,0,0,0,0,5,0,5,0,1,1,1,1,0,0,0,0,0,0.1666666716337204,Not Changed,Stayed Cookie
1,0,1,76,6,0.3333333432674408,1,1,69,6,3,2,2,0,0,0,1,6,1,1,1,0,1,1,0,0,1,1,0,0,0.3333333432674408,Not Changed,Stayed Grape
1,0,8,83,6,0.6666666865348816,1,1,86,7,2,3,2,0,0,0,0,6,0,8,0,1,1,1,1,0,1,1,0,0,0.6666666865348816,Not Changed,Stayed Grape
1,0,2,215,6,0.5,1,1,213,19,2,2,2,0,0,0,0,6,0,2,1,0,1,1,0,0,0,0,1,1,0.3333333432674408,Not Changed,Stayed Grape
0,0,5,121,6,0.1666666716337204,1,1,113,9,3,2,2,0,0,0,1,5,1,5,1,0,1,1,1,0,1,1,1,0,0.1666666716337204,Not Changed,Stayed Grape
0,0,2,186,6,0,0,0,185,16,2,2,2,0,0,0,0,2,0,2,1,0,1,1,0,0,0,0,0,0,0,Not Changed,Stayed Cookie
0,0,3,48,6,0,1,1,44,4,2,3,2,0,0,0,0,2,0,3,0,1,1,1,0,0,1,0,1,0,0,Not Changed,Stayed Grape
